127.0.0.1 - - [15/Jan/2021:14:47:48 +0530] "GET / HTTP/1.1" 200 11355
0:0:0:0:0:0:0:1 - - [15/Jan/2021:14:48:30 +0530] "GET /okstaff/employee HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:14:00 +0530] "GET /okstaff/employee HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:14:02 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:14:08 +0530] "GET /employee HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:15:06 +0530] "GET /Employees HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:15:12 +0530] "GET /okstaff/Employees HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:26:08 +0530] "GET /okstaff/Employees HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:26:08 +0530] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:28:34 +0530] "GET /Employees HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:29:24 +0530] "GET /okstaff/Employees HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:30:18 +0530] "GET /Employees HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:31:06 +0530] "GET /Employees HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [15/Jan/2021:15:36:53 +0530] "GET /Employees HTTP/1.1" 404 760
